0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
4,1.452,9.357,5.196,8.33,0.538,12.319,8.711,0.901,51.375,0.658,0.33,0.528,0.046,0.046,0.641,0.605,41.763,4.57
4,1.375,13.818,6.024,8.489,0.783,9.652,6.825,0.951,93.317,0.664,0.307,0.564,0.04,0.04,0.891,0.935,27.129,3.683
4,1.393,28.0,11.766,10.485,0.686,8.113,5.737,0.924,55.218,0.607,0.235,0.612,0.071,0.071,0.788,0.9,16.2,2.846
4,1.36,15.111,6.355,7.146,0.713,8.318,5.881,0.931,61.927,0.647,0.295,0.568,0.023,0.023,0.852,0.923,22.154,3.328
5,1.464,12.421,6.529,10.083,0.517,11.231,7.942,0.893,45.799,0.638,0.326,0.512,0.063,0.063,0.635,0.643,40.5,4.5
4,1.284,8.385,2.836,4.73,0.761,7.95,5.621,0.942,71.654,0.67,0.356,0.507,0.055,0.055,0.795,0.731,13.885,2.635
4,1.401,10.487,5.032,6.794,0.587,11.867,8.391,0.911,56.347,0.623,0.384,0.4,0.125,0.125,0.788,0.745,54.378,5.214
4,1.425,11.5,5.711,8.061,0.565,14.085,9.96,0.911,60.204,0.623,0.271,0.55,0.057,0.057,0.708,0.657,45.343,4.761
4,1.363,13.5,5.758,6.849,0.711,8.262,5.842,0.93,61.108,0.622,0.25,0.571,0.024,0.024,0.845,0.857,15.429,2.777
4,1.379,7.357,3.547,5.341,0.646,9.267,6.552,0.918,54.661,0.626,0.271,0.419,0.116,0.116,0.76,0.714,17.857,2.988
4,1.355,9.174,3.982,6.784,0.564,11.586,8.192,0.905,52.286,0.687,0.31,0.497,0.066,0.066,0.666,0.733,48.4,4.919
4,1.356,8.394,3.681,6.411,0.537,13.108,9.269,0.903,53.501,0.641,0.291,0.55,0.063,0.063,0.647,0.676,50.676,5.034
4,1.401,11.095,5.272,7.648,0.627,13.527,9.565,0.924,68.942,0.693,0.316,0.536,0.056,0.056,0.715,0.775,61.186,5.531
4,1.273,13.833,4.827,5.59,0.47,10.486,7.415,0.878,39.403,0.604,0.392,0.452,0.1,0.1,0.588,0.568,38.042,4.361
4,1.426,8.0,4.358,5.927,0.676,8.97,6.343,0.924,58.361,0.693,0.328,0.5,0.098,0.098,0.721,0.725,21.025,3.242
4,1.38,10.083,4.628,6.582,0.793,8.727,6.171,0.952,90.015,0.612,0.338,0.514,0.027,0.027,0.905,0.92,21.16,3.253
4,1.436,10.577,5.484,8.835,0.647,10.734,7.59,0.923,61.728,0.662,0.346,0.522,0.071,0.071,0.709,0.714,32.143,4.009
